"","x","z","y"
"1",6.57531944312998,1,0
"2",3.77781851657065,0,1
"3",4.38776951867289,0,0
"4",4.60309682630197,0,2
"5",4.45646525462123,0,4
"6",5.04222967666707,1,0
"7",2.35844288103282,0,0
"8",5.06426906286509,0,1
"9",3.91102854991353,0,2
"10",4.63990227565413,0,1
"11",4.38994535851711,1,0
"12",4.60269890789402,0,1
"13",2.57521541432703,0,7
"14",3.96024479476889,0,2
"15",3.06613556379982,0,3
"16",4.18935135271919,0,0
"17",2.82027392363011,0,1
"18",3.96556688062334,1,0
"19",3.3129337623007,0,3
"20",3.88100529976752,0,0
"21",4.29002297634745,0,0
"22",3.538936545464,0,1
"23",4.601118780952,0,2
"24",4.46777627552924,1,1
"25",3.46455405387103,0,1
"26",2.72426090623585,0,5
"27",3.1929592891193,0,2
"28",4.76807061282677,0,2
"29",3.98305772338412,0,0
"30",3.23960479497732,0,2
"31",4.14263167602782,0,2
"32",4.30860464404822,1,0
"33",1.21523819332718,0,10
"34",3.00535861140165,0,4
"35",4.93413436000936,0,2
"36",4.76770391766681,1,0
"37",3.67014826072785,0,1
"38",4.52620547169911,0,1
"39",3.89392950291245,1,1
"40",4.83125885510988,1,1
"41",4.6244803018519,1,0
"42",2.73858162318908,0,5
"43",3.76355439940265,0,2
"44",2.06658950316254,0,19
"45",3.82459115547257,1,0
"46",4.85279736642951,1,0
"47",3.21197458550961,0,6
"48",4.53187215691993,1,1
"49",4.8814924179815,0,2
"50",6.03232191699613,1,0
"51",2.50946956891944,1,0
"52",2.44754001712925,0,5
"53",5.11572699169112,0,1
"54",1.87450995285292,0,8
"55",2.44609338904179,0,9
"56",5.6474234222079,1,0
"57",3.60854168274603,0,3
"58",6.34948417651717,1,0
"59",3.39272859582065,1,0
"60",3.49019275735818,0,0
"61",2.92108540931721,0,3
"62",4.42470012900223,1,0
"63",4.06025581718684,0,0
"64",1.92314708172677,0,8
"65",4.30236004773264,0,0
"66",5.28361969335978,1,0
"67",3.30780192940295,0,2
"68",2.85805818941956,0,1
"69",3.70367069816691,1,0
"70",4.59792463616461,0,3
"71",4.23295301998806,0,0
"72",3.75642725171398,0,1
"73",3.29811863229887,0,1
"74",3.24815286746307,0,0
"75",2.83271549382738,0,3
"76",2.29779825456858,0,10
"77",4.40393881258531,0,1
"78",4.38691307818815,0,0
"79",4.3219561741627,0,0
"80",4.06798501360944,0,2
"81",3.49429807803737,0,2
"82",4.13516158152939,0,0
"83",4.99664973570067,1,0
"84",4.20010365286006,0,1
"85",4.06915556792641,1,0
"86",4.4457596237163,1,0
"87",4.48095970230084,0,5
"88",3.01846300385456,0,7
"89",4.43682850747998,0,2
"90",4.84593317574886,0,0
"91",5.72231964946945,0,0
"92",2.93413731314726,0,7
"93",2.49732614809652,0,7
"94",3.68087896198697,0,3
"95",5.20940489979604,1,0
"96",4.18013223759706,0,1
"97",5.15832550901515,1,0
"98",4.25305594891747,0,0
"99",3.55644350832432,0,5
"100",2.72482728852722,0,4
"101",3.30793924497761,0,2
"102",4.50947039726447,0,0
"103",4.06860445157776,1,0
"104",3.16861854490908,0,2
"105",4.75774534143715,1,0
"106",3.50920357209925,0,1
"107",2.89823703113207,0,2
"108",3.60236524583823,0,1
"109",3.22595348486377,0,1
"110",5.59921570030406,1,0
"111",4.03085504554494,0,2
"112",3.80049338508906,0,0
"113",4.59780415796892,1,0
"114",4.37682916529527,0,0
"115",4.85412502649917,1,0
"116",3.67568347859455,0,1
"117",4.04620557447966,0,0
"118",4.77720969902247,1,0
"119",4.48589151749131,0,3
"120",5.1686188166462,0,0
"121",5.17583209647962,1,1
"122",3.56513141503783,0,0
"123",4.55127015015859,0,0
"124",4.58662067832603,1,1
