county,urban,region,icr2019,icr2020
Alamance,1,2,3096.6,2932.0
Alexander,0,2,1728.3,1566.6
Alleghany,0,1,872.9,
Anson,0,2,2961.7,3501.1
Ashe,0,1,1170.0,1349.1
Avery,0,1,1420.3,1074.8
Beaufort,0,3,,
Bertie,0,3,1229.7,486.0
Bladen,0,3,2454.0,2521.1
Brunswick,1,3,,
Buncombe,1,1,3434.0,3371.1
Burke,1,1,2230.8,2185.0
Cabarrus,0,2,1676.9,1716.0
Caldwell,1,1,3119.2,2490.1
Camden,0,3,718.0,627.7
Carteret,0,3,2319.9,2252.6
Caswell,0,2,,592.9
Catawba,1,2,,2761.3
Chatham,1,2,1447.5,1533.1
Cherokee,0,1,3555.8,4318.5
Chowan,0,3,2109.6,2086.1
Clay,0,1,,
Cleveland,0,2,1286.8,1891.2
Columbus,0,3,,
Craven,1,3,2904.8,2697.8
Cumberland,1,3,4177.0,4208.5
Currituck,0,3,1228.8,1289.9
Dare,0,3,2400.2,2231.4
Davidson,1,2,,1819.6
Davie,1,2,,
Duplin,0,3,2360.2,2359.5
Durham,1,2,4564.5,4595.1
Edgecombe,1,3,4647.1,2936.6
Forsyth,1,2,4557.0,4785.6
Franklin,0,2,1465.3,1238.0
Gaston,0,2,3013.2,3140.8
Gates,0,3,,870.0
Graham,0,1,,3185.9
Granville,0,2,1519.8,1505.4
Greene,0,3,2026.3,1492.0
Guilford,1,2,3613.6,3539.6
Halifax,0,3,,
Harnett,0,3,,2293.3
Haywood,1,1,3359.1,3358.6
Henderson,1,1,,1590.9
Hertford,0,3,2669.6,2174.7
Hoke,1,3,,
Hyde,0,3,,
Iredell,1,2,2185.3,1987.2
Jackson,0,1,2776.6,3131.9
Johnston,1,3,1678.0,1688.6
Jones,0,3,,
Lee,0,2,1813.8,1941.5
Lenoir,0,3,,
Lincoln,0,2,1779.4,1949.2
Macon,0,1,2343.2,2112.3
Madison,0,1,1013.1,964.5
Martin,0,3,,
McDowell,0,1,3006.8,2601.1
Mecklenburg,1,2,4556.6,3950.6
Mitchell,0,1,,
Montgomery,0,2,2541.5,2625.9
Moore,0,2,1744.9,1682.7
Nash,1,3,,
New Hanover,1,3,2863.7,2584.9
Northampton,0,3,,
Onslow,1,3,2423.9,1961.7
Orange,1,2,1809.9,1832.2
Pamlico,0,3,1824.8,1778.5
Pasquotank,0,3,3012.5,2587.7
Pender,0,3,,
Perquimans,0,3,,
Person,0,2,2086.6,1790.9
Pitt,1,3,2772.8,2365.3
Polk,0,1,,1426.7
Randolph,0,2,,1191.7
Richmond,0,2,4245.9,4439.2
Robeson,0,3,3811.5,4779.0
Rockingham,0,2,2923.3,2503.6
Rowan,0,2,2411.3,2338.9
Rutherford,0,1,2600.3,2471.8
Sampson,0,3,2510.0,2280.5
Scotland,0,3,3662.0,3447.6
Stanly,0,2,3007.3,2921.2
Stokes,1,2,,
Surry,0,2,1588.1,1698.9
Swain,0,1,3093.1,3694.4
Transylvania,0,1,1418.2,1127.9
Tyrrell,0,3,751.2,
Union,1,2,2215.4,2025.2
Vance,0,2,3754.0,4022.7
Wake,1,2,1909.7,1896.0
Warren,0,2,1558.4,1621.3
Washington,0,3,,
Watauga,0,1,1173.1,1069.6
Wayne,1,3,3141.4,2915.9
Wilkes,0,1,1691.2,1840.8
Wilson,0,3,2643.3,2549.1
Yadkin,0,2,1789.2,1897.2
Yancey,0,1,449.7,1220.2
