"","male","ageyears","recid"
"1",1,20,1
"2",1,19,1
"3",1,30,0
"4",0,22,1
"5",1,21,0
"6",1,23,0
"7",1,22,0
"8",1,20,1
"9",1,28,0
"10",1,25,0
"11",1,31,0
"12",0,19,0
"13",1,25,0
"14",1,38,1
"15",0,19,0
"16",0,35,0
"17",1,23,1
"18",1,48,0
"19",1,21,0
"20",1,25,1
"21",1,34,0
"22",1,23,1
"23",1,18,0
"24",1,29,0
"25",1,26,0
"26",1,24,0
"27",1,20,1
"28",1,45,1
"29",1,47,0
"30",1,28,1
"31",1,45,1
"32",1,20,1
"33",1,55,0
"34",1,30,0
"35",1,53,0
"36",1,49,0
"37",1,30,1
"38",1,27,0
"39",1,21,0
"40",1,24,0
"41",1,24,0
"42",1,25,0
"43",1,23,1
"44",1,26,0
"45",1,30,0
"46",1,18,0
"47",1,33,0
"48",1,45,0
"49",1,26,1
"50",1,46,0
"51",1,40,0
"52",1,19,1
"53",1,39,0
"54",1,34,1
"55",1,23,0
"56",1,21,0
"57",1,20,0
"58",1,20,0
"59",1,36,0
"60",1,31,0
"61",1,20,0
"62",1,26,0
"63",1,24,0
"64",1,30,0
"65",1,23,0
"66",1,36,0
"67",0,19,0
"68",1,40,0
"69",1,38,0
"70",1,20,0
"71",1,31,1
"72",1,36,0
"73",1,28,1
"74",1,23,1
"75",1,47,0
"76",1,49,1
"77",1,64,0
"78",1,47,0
"79",1,48,0
"80",1,22,0
"81",0,27,0
"82",1,20,0
"83",1,19,0
"84",1,26,0
"85",1,20,0
"86",1,28,0
"87",1,26,1
"88",1,36,0
"89",1,64,0
"90",0,24,0
"91",1,23,1
"92",1,35,1
"93",1,28,0
"94",1,55,0
"95",1,42,1
"96",1,17,1
"97",1,19,0
"98",1,30,1
"99",1,22,0
"100",1,20,1
"101",1,22,1
"102",1,25,0
"103",1,29,0
"104",1,32,0
"105",0,18,1
"106",1,34,1
"107",1,47,1
"108",1,39,1
"109",1,25,1
"110",1,31,1
"111",1,24,0
"112",1,66,0
"113",1,45,0
"114",1,65,1
"115",0,58,0
"116",1,41,0
"117",1,40,0
"118",1,29,0
"119",1,22,0
"120",1,22,1
"121",1,25,1
"122",0,30,0
"123",1,32,0
"124",1,31,0
"125",0,22,0
"126",1,18,1
"127",1,26,1
"128",1,24,0
"129",1,32,0
"130",1,57,0
"131",1,20,0
"132",1,21,1
"133",1,20,1
"134",1,29,0
"135",1,49,1
"136",1,49,1
"137",1,29,0
"138",1,34,0
"139",1,21,1
"140",1,20,1
"141",1,17,0
"142",1,32,0
"143",1,34,0
"144",1,24,1
"145",1,20,1
"146",1,24,0
"147",1,28,0
"148",1,22,0
"149",1,24,0
"150",1,20,0
"151",1,21,1
"152",1,19,1
"153",1,31,0
"154",1,32,0
"155",1,20,0
"156",1,23,1
"157",0,22,1
"158",1,42,0
"159",1,28,0
"160",1,29,1
"161",1,22,1
"162",1,23,0
"163",1,23,0
"164",1,19,0
"165",1,19,1
"166",1,35,0
"167",1,30,0
"168",1,24,0
"169",1,18,0
"170",1,30,0
"171",1,21,0
"172",1,28,1
"173",1,46,0
"174",1,60,0
"175",1,18,1
"176",1,24,0
"177",1,39,1
"178",1,26,1
"179",1,30,0
"180",1,47,1
"181",1,21,1
"182",1,29,0
"183",0,21,0
"184",1,41,0
"185",1,27,0
"186",1,24,0
"187",1,40,0
"188",1,25,0
"189",1,29,0
"190",1,21,0
"191",1,22,1
"192",1,47,0
"193",1,32,0
"194",1,21,0
"195",1,25,0
"196",1,25,0
"197",1,40,0
"198",1,24,0
"199",1,17,0
"200",1,24,0
"201",1,27,1
"202",1,21,0
"203",1,51,0
"204",1,28,1
"205",1,20,0
"206",1,34,0
"207",1,21,0
"208",1,39,0
"209",1,19,1
"210",1,40,1
"211",1,33,0
"212",1,19,0
"213",1,19,1
"214",0,36,0
"215",1,25,1
"216",1,60,1
"217",1,24,1
"218",1,29,0
"219",1,27,0
"220",1,41,1
"221",1,20,1
