"y","sb","ur","sx"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
1,"no","u","f"
